Feature value 1, Feature value 2, Jaccard coefficient for reference set, Jaccard coefficient for MMP-targeting set
Germ_LV_IGKV3-7*01,Germ_LV_IGKV5-48*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3S3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-117*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV6-57*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV8-30*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-51*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-2*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S14*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S11*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV14-126*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-21*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-5*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV2S9*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-19*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV14-111*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-23*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV10-96*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-72*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV6-57*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2D-29*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-9*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-10*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV12-46*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV10-94*05,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ2*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ2-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGLJ1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ2*01,0.037037037037037035,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ1*02,0.041666666666666664,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ2-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGLJ3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ1-2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGLJ7*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGLJ6*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ4*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ1-1*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ1-2*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGLJ2*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGKJ4*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LJ_IGLJ3*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-9*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-17*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-53*01,0.06666666666666667,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-24*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-15*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-42*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV10-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-23*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3S1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-5*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-30*18,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-4*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5S4*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-4*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-23*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-21*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV9-3-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-30*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-72*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-6*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-15*06,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-4*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-22*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-4*08,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-1*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-18*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-7*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-6-5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV6-6*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-67*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-9*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-59*08,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-10-1*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-8*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-59*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-2*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV8-8*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-66*02,0.0,0.0
